New,Old
Chaenocephalus aceratus,chaenocephalus_aceratus-channichthyidae
Champsocephalus gunnari,champsocephalus_gunnari-channichthyidae
Chionodraco rastrospinosus,chionodraco_rastrospinosus-channichthyidae
Cryodraco antarcticus,cryodraco_antarcticus-channichthyidae
Dissostichus mawsoni,nototheniid_dissostichus_mawsoni-artedidraconidae
Gobionotothen gibberifrons,nototheniid_gobinotothen_gibberifrons-artedidraconidae
Gymnodraco acuticeps,gymnodraco_acuticeps-bathydraconidae
Nototheniops larseni,lepi_lars-trematominae
Nototheniops nudifrons,lepi_nudi-trematominae
Lepidonotothen squamifrons,lepi_squa-trematominae
Notothenia coriiceps,notothenia_corriceps-nototheniidae
Parachaenichthys charcoti,parachaenichthys_charcoti-artedidraconidae
Pleuragramma antarcticum,nototheniids_pleuragramma_antarcticum-artedidraconidae
Pseudochaenichthys georgianus,pseudochaenichthys_georgianus-channichthyidae
Trematomus eulepidotus,trematomus_eulepidotus-trematominae
Trematomus hansoni,trematomus_hansoni-trematominae
Chaenodraco wilsoni,chaenodraco_wilsoni-channichthyidae
Chionobathyscus dewitti,chionobathyscus_dewitti-channichthyidae
Dolloidraco longedorsalis,dolloidraco_longedorsalis-artedidraconidae
Gerlachea australis,gerlachea_australis-artedidraconidae
Racovitzia glacialis,racovitzia_glacialis-artedidraconidae
Trematomus tokarevi,trematomus_tokarevi-trematominae
Artedidraco skottsbergi,artedidraco_skottsbergi-artedidraconidae
Bathydraco marri,bathydraco_marri-bathydraconidae
Trematomus bernacchii,trematomus_bernacchii-trematominae
Trematomus newnesi,trematomus_newnesi-trematominae
Trematomus nicolai,trematomus_nicolai-trematominae
Trematomus pennellii,trematomus_pennelii-trematominae
Pagetopsis macropterus,pagetopsis_macropterus-channichthyidae
Trematomus scotti,trematomus_scotti-trematominae
Pogonophryne marmorata,pogonophryne_marmorata-artedidraconidae
Trematomus loennbergii,trematomus_loenbergii-trematominae
Harpagifer antarcticus,harpagifer_antarcticus-harpagiferidae
Pogonophryne scotti,pogonophryne_scotti-artedidraconidae
Dacodraco hunteri,dacodraco_hunteri-channichthyidae
Aethotaxis mitopteryx,nototheniids_aethotaxis_mitopteryx-artedidraconidae
Chionodraco myersi,chiondraco_myersi-channichthyidae
Pogonophryne barsukovi,pogonophryne_barsukovi-artedidraconidae
Prionodraco evansii,prionodraco_evansii-artedidraconidae
Vomeridens infuscipinnis,vomeridens_infuscipinnis-artedidraconidae
Pogonophryne macropogon,pogonophryne_macropogon-artedidraconidae
Akarotaxis nudiceps,akarotaxis_nudiceps-bathydraconidae
Bathydraco antarcticus,bathydraco_antarcticus-bathydraconidae
Chionodraco hamatus,c_hamatus-artedidraconidae
Histiodraco velifer,histiodraco_velifer-artedidraconidae
