"","Old","Comp1","Comp2","New","SizeData","LogSize"
"akarotaxis_nudiceps-bathydraconidae","akarotaxis_nudiceps-bathydraconidae",0.00583493116748709,0.00840360746280895,"Akarotaxis nudiceps",13,2.56494935746154
"artedidraco_skottsbergi-artedidraconidae","artedidraco_skottsbergi-artedidraconidae",-0.0883195144204048,0.0165867233639738,"Artedidraco skottsbergi",12,2.484906649788
"chaenocephalus_aceratus-channichthyidae","chaenocephalus_aceratus-channichthyidae",-0.104350366426405,0.00529938396287307,"Chaenocephalus aceratus",72,4.27666611901606
"chaenodraco_wilsoni-channichthyidae","chaenodraco_wilsoni-channichthyidae",0.0722970847252478,0.0657472081896965,"Chaenodraco wilsoni",43,3.76120011569356
"champsocephalus_gunnari-channichthyidae","champsocephalus_gunnari-channichthyidae",0.00124633058511606,-0.0669813386979801,"Champsocephalus gunnari",66,4.18965474202643
"chionobathyscus_dewitti-channichthyidae","chionobathyscus_dewitti-channichthyidae",-0.0897166589382622,0.0635767652535651,"Chionobathyscus dewitti",60,4.0943445622221
"chionodraco_rastrospinosus-channichthyidae","chionodraco_rastrospinosus-channichthyidae",0.0657174778886162,0.0707756222014949,"Chionodraco rastrospinosus",52,3.95124371858143
"cryodraco_antarcticus-channichthyidae","cryodraco_antarcticus-channichthyidae",-0.0989394643560075,0.0178550063188819,"Cryodraco antarcticus",48.7,3.88567903008854
"dolloidraco_longedorsalis-artedidraconidae","dolloidraco_longedorsalis-artedidraconidae",-0.101538014514058,-0.0125854051398365,"Dolloidraco longedorsalis",13.6999998092651,2.61739581891183
"harpagifer_antarcticus-harpagiferidae","harpagifer_antarcticus-harpagiferidae",0.0124788742342753,-0.020299180217467,"Harpagifer antarcticus",9.5,2.2512917986065
"lepi_lars-trematominae","lepi_lars-trematominae",0.00214333509275651,-0.0507584455804038,"Nototheniops larseni",24,3.17805383034795
"lepi_squa-trematominae","lepi_squa-trematominae",0.0542201129269248,0.057687456049785,"Lepidonotothen squamifrons",55,4.00733318523247
"pogonophryne_marmorata-artedidraconidae","pogonophryne_marmorata-artedidraconidae",0.015187459777292,0.00338177709174856,"Pogonophryne marmorata",21,3.04452243772342
"pogonophryne_scotti-artedidraconidae","pogonophryne_scotti-artedidraconidae",-0.0377754455026097,0.0411204756684732,"Pogonophryne scotti",31,3.43398720448515
"racovitzia_glacialis-artedidraconidae","racovitzia_glacialis-artedidraconidae",-0.00346610442264083,0.00615712194759616,"Racovitzia glacialis",27.1000003814697,3.29953374196203
"trematomus_eulepidotus-trematominae","trematomus_eulepidotus-trematominae",0.032163307629705,-0.0426411274567015,"Trematomus eulepidotus",34.5,3.54095932403731
"trematomus_hansoni-trematominae","trematomus_hansoni-trematominae",0.0705353252736762,-0.0303855429073558,"Trematomus hansoni",41,3.71357206670431
"trematomus_pennelii-trematominae","trematomus_pennelii-trematominae",0.0462117184853298,-0.0495483040677577,"Trematomus pennellii",29.7000007629395,3.39114707149685
"trematomus_scotti-trematominae","trematomus_scotti-trematominae",-0.00234636269885858,-0.0430764024086707,"Trematomus scotti",24.7000007629395,3.20680327452217
"trematomus_tokarevi-trematominae","trematomus_tokarevi-trematominae",0.0304755517915783,-0.04500233724274,"Trematomus tokarevi",22.3999996185303,3.1090609418311
